starttime	seconds	ctime	dtime	ttime	wait
Thu Mar 06 16:51:58 2014	1394113918	0	18	18	18
Thu Mar 06 16:51:58 2014	1394113918	0	19	19	18
Thu Mar 06 16:51:58 2014	1394113918	0	22	22	21
Thu Mar 06 16:51:57 2014	1394113917	0	22	22	22
Thu Mar 06 16:51:58 2014	1394113918	0	23	23	22
Thu Mar 06 16:51:59 2014	1394113919	0	23	23	22
Thu Mar 06 16:51:58 2014	1394113918	0	24	24	24
Thu Mar 06 16:51:59 2014	1394113919	0	26	26	22
Thu Mar 06 16:51:58 2014	1394113918	0	26	26	26
Thu Mar 06 16:51:58 2014	1394113918	0	26	26	25
Thu Mar 06 16:52:00 2014	1394113920	0	27	27	26
Thu Mar 06 16:51:59 2014	1394113919	0	27	27	26
Thu Mar 06 16:51:58 2014	1394113918	0	27	27	25
Thu Mar 06 16:52:00 2014	1394113920	0	27	27	26
Thu Mar 06 16:51:58 2014	1394113918	0	28	28	27
Thu Mar 06 16:51:57 2014	1394113917	0	28	28	28
Thu Mar 06 16:51:58 2014	1394113918	0	29	29	28
Thu Mar 06 16:51:57 2014	1394113917	0	29	29	28
Thu Mar 06 16:51:58 2014	1394113918	0	29	29	27
Thu Mar 06 16:51:59 2014	1394113919	0	29	29	29
Thu Mar 06 16:52:00 2014	1394113920	0	31	31	31
Thu Mar 06 16:51:58 2014	1394113918	0	32	32	31
Thu Mar 06 16:51:58 2014	1394113918	0	33	33	32
Thu Mar 06 16:51:58 2014	1394113918	0	33	33	33
Thu Mar 06 16:51:59 2014	1394113919	0	33	33	33
Thu Mar 06 16:51:58 2014	1394113918	0	33	33	31
Thu Mar 06 16:51:59 2014	1394113919	0	33	33	30
Thu Mar 06 16:51:57 2014	1394113917	0	34	34	33
Thu Mar 06 16:51:59 2014	1394113919	0	34	34	32
Thu Mar 06 16:51:57 2014	1394113917	0	34	34	33
Thu Mar 06 16:52:00 2014	1394113920	0	34	34	34
Thu Mar 06 16:52:00 2014	1394113920	0	35	35	34
Thu Mar 06 16:51:59 2014	1394113919	0	35	35	33
Thu Mar 06 16:52:00 2014	1394113920	0	35	35	34
Thu Mar 06 16:51:58 2014	1394113918	0	36	36	35
Thu Mar 06 16:52:00 2014	1394113920	0	36	36	36
Thu Mar 06 16:51:57 2014	1394113917	0	36	36	33
Thu Mar 06 16:51:58 2014	1394113918	0	37	37	37
Thu Mar 06 16:52:00 2014	1394113920	0	37	37	37
Thu Mar 06 16:52:00 2014	1394113920	0	37	38	37
Thu Mar 06 16:51:59 2014	1394113919	0	38	38	37
Thu Mar 06 16:51:57 2014	1394113917	0	38	38	37
Thu Mar 06 16:51:57 2014	1394113917	0	38	38	38
Thu Mar 06 16:51:57 2014	1394113917	0	38	39	38
Thu Mar 06 16:51:57 2014	1394113917	0	39	39	38
Thu Mar 06 16:51:57 2014	1394113917	0	39	39	38
Thu Mar 06 16:51:57 2014	1394113917	0	39	39	38
Thu Mar 06 16:51:58 2014	1394113918	0	39	39	37
Thu Mar 06 16:51:59 2014	1394113919	0	39	39	36
Thu Mar 06 16:51:59 2014	1394113919	0	39	39	39
Thu Mar 06 16:51:57 2014	1394113917	0	39	39	38
Thu Mar 06 16:51:58 2014	1394113918	0	40	40	39
Thu Mar 06 16:51:59 2014	1394113919	0	40	40	38
Thu Mar 06 16:51:57 2014	1394113917	0	40	40	37
Thu Mar 06 16:51:58 2014	1394113918	0	40	40	39
Thu Mar 06 16:51:59 2014	1394113919	0	40	40	40
Thu Mar 06 16:51:59 2014	1394113919	0	41	41	38
Thu Mar 06 16:51:58 2014	1394113918	0	41	41	40
Thu Mar 06 16:51:58 2014	1394113918	0	41	41	40
Thu Mar 06 16:52:00 2014	1394113920	0	41	41	40
Thu Mar 06 16:52:00 2014	1394113920	0	41	41	41
Thu Mar 06 16:51:59 2014	1394113919	0	41	41	38
Thu Mar 06 16:51:57 2014	1394113917	0	41	41	41
Thu Mar 06 16:51:58 2014	1394113918	0	41	41	41
Thu Mar 06 16:52:00 2014	1394113920	0	42	42	41
Thu Mar 06 16:51:58 2014	1394113918	0	42	42	41
Thu Mar 06 16:51:59 2014	1394113919	0	42	42	41
Thu Mar 06 16:51:59 2014	1394113919	0	42	43	41
Thu Mar 06 16:51:59 2014	1394113919	0	43	43	43
Thu Mar 06 16:52:00 2014	1394113920	0	43	43	42
Thu Mar 06 16:51:57 2014	1394113917	0	43	43	43
Thu Mar 06 16:51:59 2014	1394113919	0	43	43	41
Thu Mar 06 16:51:57 2014	1394113917	0	44	44	43
Thu Mar 06 16:51:58 2014	1394113918	0	44	44	43
Thu Mar 06 16:51:58 2014	1394113918	0	44	44	44
Thu Mar 06 16:52:00 2014	1394113920	0	44	44	44
Thu Mar 06 16:52:00 2014	1394113920	0	45	45	41
Thu Mar 06 16:51:58 2014	1394113918	0	45	45	44
Thu Mar 06 16:51:58 2014	1394113918	0	45	45	44
Thu Mar 06 16:51:58 2014	1394113918	0	46	46	46
Thu Mar 06 16:52:00 2014	1394113920	0	46	46	46
Thu Mar 06 16:51:58 2014	1394113918	0	47	47	46
Thu Mar 06 16:51:58 2014	1394113918	0	47	47	46
Thu Mar 06 16:51:57 2014	1394113917	0	47	48	47
Thu Mar 06 16:51:58 2014	1394113918	0	49	49	47
Thu Mar 06 16:51:58 2014	1394113918	0	49	49	48
Thu Mar 06 16:51:59 2014	1394113919	0	49	49	49
Thu Mar 06 16:51:59 2014	1394113919	0	50	50	49
Thu Mar 06 16:51:58 2014	1394113918	0	50	50	50
Thu Mar 06 16:51:57 2014	1394113917	0	52	52	51
Thu Mar 06 16:52:00 2014	1394113920	0	52	52	51
Thu Mar 06 16:52:00 2014	1394113920	0	52	52	51
Thu Mar 06 16:51:59 2014	1394113919	0	52	52	52
Thu Mar 06 16:51:58 2014	1394113918	0	52	52	51
Thu Mar 06 16:51:58 2014	1394113918	0	52	52	52
Thu Mar 06 16:51:58 2014	1394113918	0	52	52	52
Thu Mar 06 16:51:58 2014	1394113918	0	53	53	52
Thu Mar 06 16:52:00 2014	1394113920	0	53	53	52
Thu Mar 06 16:51:57 2014	1394113917	0	53	53	52
Thu Mar 06 16:51:57 2014	1394113917	0	53	53	51
Thu Mar 06 16:51:57 2014	1394113917	0	53	54	50
Thu Mar 06 16:51:58 2014	1394113918	0	54	54	53
Thu Mar 06 16:51:57 2014	1394113917	0	54	54	53
Thu Mar 06 16:51:59 2014	1394113919	0	55	55	55
Thu Mar 06 16:52:00 2014	1394113920	0	56	56	53
Thu Mar 06 16:51:58 2014	1394113918	0	56	56	53
Thu Mar 06 16:52:00 2014	1394113920	0	56	56	55
Thu Mar 06 16:51:57 2014	1394113917	0	56	56	56
Thu Mar 06 16:51:58 2014	1394113918	0	57	57	56
Thu Mar 06 16:51:56 2014	1394113916	2	55	57	50
Thu Mar 06 16:51:59 2014	1394113919	0	58	58	56
Thu Mar 06 16:51:59 2014	1394113919	0	58	58	55
Thu Mar 06 16:51:57 2014	1394113917	0	58	58	57
Thu Mar 06 16:51:58 2014	1394113918	0	59	59	57
Thu Mar 06 16:51:58 2014	1394113918	0	59	59	59
Thu Mar 06 16:51:59 2014	1394113919	0	60	60	58
Thu Mar 06 16:51:59 2014	1394113919	0	60	60	59
Thu Mar 06 16:51:58 2014	1394113918	0	61	61	60
Thu Mar 06 16:52:00 2014	1394113920	0	61	62	61
Thu Mar 06 16:51:56 2014	1394113916	2	61	63	55
Thu Mar 06 16:51:58 2014	1394113918	0	64	64	63
Thu Mar 06 16:52:00 2014	1394113920	0	66	66	65
Thu Mar 06 16:51:57 2014	1394113917	0	66	66	65
Thu Mar 06 16:51:59 2014	1394113919	0	66	67	64
Thu Mar 06 16:51:59 2014	1394113919	0	67	67	67
Thu Mar 06 16:51:58 2014	1394113918	0	67	67	67
Thu Mar 06 16:52:00 2014	1394113920	0	68	68	67
Thu Mar 06 16:51:57 2014	1394113917	0	68	68	63
Thu Mar 06 16:51:57 2014	1394113917	0	68	68	67
Thu Mar 06 16:51:57 2014	1394113917	0	68	68	68
Thu Mar 06 16:51:57 2014	1394113917	0	68	68	68
Thu Mar 06 16:51:58 2014	1394113918	0	68	68	68
Thu Mar 06 16:51:58 2014	1394113918	0	68	69	68
Thu Mar 06 16:51:59 2014	1394113919	0	69	69	69
Thu Mar 06 16:51:57 2014	1394113917	0	70	70	69
Thu Mar 06 16:51:58 2014	1394113918	0	70	70	69
Thu Mar 06 16:51:59 2014	1394113919	0	70	70	68
Thu Mar 06 16:51:59 2014	1394113919	0	70	70	69
Thu Mar 06 16:51:58 2014	1394113918	0	71	71	71
Thu Mar 06 16:51:59 2014	1394113919	0	71	71	71
Thu Mar 06 16:51:57 2014	1394113917	0	72	72	70
Thu Mar 06 16:51:57 2014	1394113917	0	72	72	70
Thu Mar 06 16:51:58 2014	1394113918	0	73	73	72
Thu Mar 06 16:52:00 2014	1394113920	0	73	73	73
Thu Mar 06 16:52:00 2014	1394113920	0	74	74	71
Thu Mar 06 16:51:56 2014	1394113916	2	72	74	69
Thu Mar 06 16:51:59 2014	1394113919	0	74	74	71
Thu Mar 06 16:51:58 2014	1394113918	0	74	74	67
Thu Mar 06 16:51:58 2014	1394113918	0	74	74	73
Thu Mar 06 16:52:00 2014	1394113920	0	75	75	74
Thu Mar 06 16:51:58 2014	1394113918	0	75	75	75
Thu Mar 06 16:52:00 2014	1394113920	0	75	75	75
Thu Mar 06 16:51:58 2014	1394113918	0	75	76	75
Thu Mar 06 16:51:59 2014	1394113919	0	76	76	75
Thu Mar 06 16:51:58 2014	1394113918	0	76	76	76
Thu Mar 06 16:51:56 2014	1394113916	2	75	77	68
Thu Mar 06 16:51:59 2014	1394113919	0	77	77	72
Thu Mar 06 16:51:59 2014	1394113919	0	77	77	77
Thu Mar 06 16:51:58 2014	1394113918	0	77	77	77
Thu Mar 06 16:52:00 2014	1394113920	0	78	78	77
Thu Mar 06 16:51:59 2014	1394113919	0	78	78	78
Thu Mar 06 16:51:58 2014	1394113918	0	79	79	78
Thu Mar 06 16:51:59 2014	1394113919	0	79	79	79
Thu Mar 06 16:51:57 2014	1394113917	0	79	80	76
Thu Mar 06 16:51:56 2014	1394113916	2	78	80	74
Thu Mar 06 16:51:58 2014	1394113918	0	80	80	79
Thu Mar 06 16:51:58 2014	1394113918	0	80	80	79
Thu Mar 06 16:51:58 2014	1394113918	0	80	80	79
Thu Mar 06 16:51:58 2014	1394113918	0	80	80	78
Thu Mar 06 16:51:59 2014	1394113919	0	80	80	77
Thu Mar 06 16:51:58 2014	1394113918	0	81	81	80
Thu Mar 06 16:52:00 2014	1394113920	0	82	82	82
Thu Mar 06 16:51:59 2014	1394113919	0	83	83	83
Thu Mar 06 16:51:58 2014	1394113918	0	84	84	82
Thu Mar 06 16:51:59 2014	1394113919	0	85	85	84
Thu Mar 06 16:51:58 2014	1394113918	0	85	85	84
Thu Mar 06 16:51:58 2014	1394113918	0	86	86	85
Thu Mar 06 16:52:00 2014	1394113920	0	86	86	85
Thu Mar 06 16:52:00 2014	1394113920	0	86	86	85
Thu Mar 06 16:51:59 2014	1394113919	0	86	86	86
Thu Mar 06 16:51:58 2014	1394113918	0	86	86	85
Thu Mar 06 16:52:00 2014	1394113920	0	87	87	87
Thu Mar 06 16:51:58 2014	1394113918	0	87	87	86
Thu Mar 06 16:52:00 2014	1394113920	0	88	88	87
Thu Mar 06 16:52:00 2014	1394113920	0	88	88	87
Thu Mar 06 16:52:00 2014	1394113920	0	88	88	87
Thu Mar 06 16:51:58 2014	1394113918	0	89	89	87
Thu Mar 06 16:51:59 2014	1394113919	0	90	90	87
Thu Mar 06 16:51:58 2014	1394113918	0	90	90	89
Thu Mar 06 16:51:58 2014	1394113918	0	90	90	89
Thu Mar 06 16:51:59 2014	1394113919	0	90	90	90
Thu Mar 06 16:51:59 2014	1394113919	0	91	91	91
Thu Mar 06 16:51:57 2014	1394113917	0	93	93	92
Thu Mar 06 16:51:58 2014	1394113918	0	94	94	94
Thu Mar 06 16:51:58 2014	1394113918	0	94	94	92
Thu Mar 06 16:52:00 2014	1394113920	0	94	95	91
Thu Mar 06 16:51:59 2014	1394113919	0	95	95	94
Thu Mar 06 16:51:57 2014	1394113917	0	95	95	94
Thu Mar 06 16:51:57 2014	1394113917	0	95	95	94
Thu Mar 06 16:51:58 2014	1394113918	0	95	95	95
Thu Mar 06 16:51:58 2014	1394113918	0	95	95	94
Thu Mar 06 16:51:57 2014	1394113917	0	96	96	95
Thu Mar 06 16:51:57 2014	1394113917	0	97	97	96
Thu Mar 06 16:51:59 2014	1394113919	0	97	97	96
Thu Mar 06 16:51:58 2014	1394113918	0	97	97	97
Thu Mar 06 16:51:57 2014	1394113917	0	98	98	98
Thu Mar 06 16:51:58 2014	1394113918	0	99	99	98
Thu Mar 06 16:51:58 2014	1394113918	0	99	99	99
Thu Mar 06 16:51:59 2014	1394113919	0	100	100	97
Thu Mar 06 16:51:57 2014	1394113917	0	100	100	99
Thu Mar 06 16:51:58 2014	1394113918	0	100	100	99
Thu Mar 06 16:51:58 2014	1394113918	0	101	101	98
Thu Mar 06 16:51:57 2014	1394113917	0	101	101	100
Thu Mar 06 16:52:00 2014	1394113920	0	101	101	100
Thu Mar 06 16:51:57 2014	1394113917	0	101	101	100
Thu Mar 06 16:51:59 2014	1394113919	0	101	101	100
Thu Mar 06 16:51:59 2014	1394113919	0	102	102	101
Thu Mar 06 16:51:59 2014	1394113919	0	102	102	102
Thu Mar 06 16:52:00 2014	1394113920	0	103	103	103
Thu Mar 06 16:51:59 2014	1394113919	0	104	104	103
Thu Mar 06 16:51:57 2014	1394113917	0	104	104	103
Thu Mar 06 16:51:59 2014	1394113919	0	104	104	104
Thu Mar 06 16:51:57 2014	1394113917	0	104	104	104
Thu Mar 06 16:51:59 2014	1394113919	0	104	104	104
Thu Mar 06 16:52:00 2014	1394113920	0	105	105	104
Thu Mar 06 16:51:57 2014	1394113917	0	106	106	104
Thu Mar 06 16:51:58 2014	1394113918	0	107	107	105
Thu Mar 06 16:51:59 2014	1394113919	0	107	107	107
Thu Mar 06 16:51:59 2014	1394113919	0	107	108	105
Thu Mar 06 16:51:57 2014	1394113917	0	109	109	106
Thu Mar 06 16:52:00 2014	1394113920	0	109	109	109
Thu Mar 06 16:51:58 2014	1394113918	0	109	109	108
Thu Mar 06 16:51:59 2014	1394113919	0	109	110	107
Thu Mar 06 16:51:58 2014	1394113918	0	110	110	110
Thu Mar 06 16:51:58 2014	1394113918	0	111	111	109
Thu Mar 06 16:51:57 2014	1394113917	0	111	111	110
Thu Mar 06 16:52:00 2014	1394113920	0	111	111	110
Thu Mar 06 16:51:59 2014	1394113919	0	111	111	110
Thu Mar 06 16:51:59 2014	1394113919	0	112	112	112
Thu Mar 06 16:51:58 2014	1394113918	0	114	114	113
Thu Mar 06 16:51:59 2014	1394113919	0	114	114	110
Thu Mar 06 16:51:59 2014	1394113919	0	115	115	114
Thu Mar 06 16:51:58 2014	1394113918	0	115	115	114
Thu Mar 06 16:51:57 2014	1394113917	0	116	116	113
Thu Mar 06 16:51:59 2014	1394113919	0	116	116	115
Thu Mar 06 16:51:58 2014	1394113918	0	116	116	115
Thu Mar 06 16:51:58 2014	1394113918	0	116	116	116
Thu Mar 06 16:51:58 2014	1394113918	0	116	116	116
Thu Mar 06 16:52:00 2014	1394113920	0	117	117	116
Thu Mar 06 16:51:58 2014	1394113918	0	117	117	117
Thu Mar 06 16:51:57 2014	1394113917	0	117	118	117
Thu Mar 06 16:51:58 2014	1394113918	0	118	118	117
Thu Mar 06 16:51:57 2014	1394113917	0	118	118	117
Thu Mar 06 16:51:57 2014	1394113917	0	118	118	115
Thu Mar 06 16:51:57 2014	1394113917	0	119	119	116
Thu Mar 06 16:51:58 2014	1394113918	0	119	119	118
Thu Mar 06 16:51:57 2014	1394113917	0	119	119	119
Thu Mar 06 16:51:58 2014	1394113918	0	119	119	119
Thu Mar 06 16:51:57 2014	1394113917	0	120	120	119
Thu Mar 06 16:51:57 2014	1394113917	0	120	120	117
Thu Mar 06 16:51:56 2014	1394113916	2	118	120	118
Thu Mar 06 16:51:59 2014	1394113919	0	121	121	121
Thu Mar 06 16:52:00 2014	1394113920	0	122	122	121
Thu Mar 06 16:51:59 2014	1394113919	0	123	123	122
Thu Mar 06 16:51:57 2014	1394113917	0	124	124	121
Thu Mar 06 16:51:57 2014	1394113917	0	125	125	124
Thu Mar 06 16:51:59 2014	1394113919	0	126	126	125
Thu Mar 06 16:52:00 2014	1394113920	0	126	126	124
Thu Mar 06 16:52:00 2014	1394113920	0	126	126	126
Thu Mar 06 16:51:59 2014	1394113919	0	126	127	126
Thu Mar 06 16:51:57 2014	1394113917	0	127	127	122
Thu Mar 06 16:51:58 2014	1394113918	0	127	127	127
Thu Mar 06 16:51:57 2014	1394113917	0	127	127	126
Thu Mar 06 16:51:57 2014	1394113917	0	127	127	127
Thu Mar 06 16:52:00 2014	1394113920	0	128	128	124
Thu Mar 06 16:51:57 2014	1394113917	0	128	128	128
Thu Mar 06 16:51:57 2014	1394113917	0	128	128	128
Thu Mar 06 16:51:57 2014	1394113917	0	128	128	127
Thu Mar 06 16:51:58 2014	1394113918	0	129	129	127
Thu Mar 06 16:51:57 2014	1394113917	0	131	131	130
Thu Mar 06 16:52:00 2014	1394113920	0	131	131	128
Thu Mar 06 16:52:00 2014	1394113920	0	131	132	130
Thu Mar 06 16:51:57 2014	1394113917	0	133	133	132
Thu Mar 06 16:51:59 2014	1394113919	0	134	134	133
Thu Mar 06 16:51:57 2014	1394113917	0	134	134	131
Thu Mar 06 16:51:58 2014	1394113918	0	135	135	134
Thu Mar 06 16:51:58 2014	1394113918	0	135	135	134
Thu Mar 06 16:51:59 2014	1394113919	0	135	135	134
Thu Mar 06 16:51:59 2014	1394113919	0	135	135	132
Thu Mar 06 16:51:57 2014	1394113917	0	135	135	133
Thu Mar 06 16:52:00 2014	1394113920	0	136	136	135
Thu Mar 06 16:51:58 2014	1394113918	0	137	137	136
Thu Mar 06 16:51:58 2014	1394113918	0	138	138	137
Thu Mar 06 16:52:00 2014	1394113920	0	138	138	137
Thu Mar 06 16:51:59 2014	1394113919	0	139	139	138
Thu Mar 06 16:51:57 2014	1394113917	0	140	140	137
Thu Mar 06 16:52:00 2014	1394113920	0	140	140	139
Thu Mar 06 16:52:00 2014	1394113920	0	140	140	140
Thu Mar 06 16:51:58 2014	1394113918	0	141	141	140
Thu Mar 06 16:51:59 2014	1394113919	0	142	142	142
Thu Mar 06 16:51:59 2014	1394113919	0	142	142	142
Thu Mar 06 16:51:58 2014	1394113918	0	143	143	142
Thu Mar 06 16:52:00 2014	1394113920	0	144	144	143
Thu Mar 06 16:52:00 2014	1394113920	0	145	145	144
Thu Mar 06 16:51:58 2014	1394113918	0	145	145	144
Thu Mar 06 16:51:59 2014	1394113919	0	146	146	144
Thu Mar 06 16:51:59 2014	1394113919	0	146	146	146
Thu Mar 06 16:51:58 2014	1394113918	0	147	147	146
Thu Mar 06 16:51:58 2014	1394113918	0	147	147	147
Thu Mar 06 16:51:59 2014	1394113919	0	147	147	146
Thu Mar 06 16:51:58 2014	1394113918	0	148	148	147
Thu Mar 06 16:51:56 2014	1394113916	2	147	149	140
Thu Mar 06 16:51:58 2014	1394113918	0	152	152	147
Thu Mar 06 16:51:59 2014	1394113919	0	152	152	150
Thu Mar 06 16:51:59 2014	1394113919	0	154	154	151
Thu Mar 06 16:52:00 2014	1394113920	0	155	155	154
Thu Mar 06 16:52:00 2014	1394113920	0	155	155	154
Thu Mar 06 16:52:00 2014	1394113920	0	155	155	150
Thu Mar 06 16:51:58 2014	1394113918	0	156	156	151
Thu Mar 06 16:52:00 2014	1394113920	0	156	156	155
Thu Mar 06 16:51:57 2014	1394113917	0	157	157	153
Thu Mar 06 16:51:59 2014	1394113919	0	158	158	157
Thu Mar 06 16:51:56 2014	1394113916	2	156	158	149
Thu Mar 06 16:51:58 2014	1394113918	0	159	159	158
Thu Mar 06 16:51:59 2014	1394113919	0	159	159	158
Thu Mar 06 16:52:00 2014	1394113920	0	160	160	159
Thu Mar 06 16:52:00 2014	1394113920	0	160	160	160
Thu Mar 06 16:51:57 2014	1394113917	0	160	160	158
Thu Mar 06 16:52:00 2014	1394113920	0	162	162	160
Thu Mar 06 16:51:57 2014	1394113917	0	163	163	162
Thu Mar 06 16:51:58 2014	1394113918	0	163	163	162
Thu Mar 06 16:51:59 2014	1394113919	0	163	163	162
Thu Mar 06 16:52:00 2014	1394113920	0	163	163	163
Thu Mar 06 16:51:58 2014	1394113918	0	164	164	160
Thu Mar 06 16:51:57 2014	1394113917	0	164	164	161
Thu Mar 06 16:51:57 2014	1394113917	0	165	165	164
Thu Mar 06 16:52:00 2014	1394113920	0	165	165	164
Thu Mar 06 16:52:00 2014	1394113920	0	166	166	163
Thu Mar 06 16:51:59 2014	1394113919	0	166	166	163
Thu Mar 06 16:51:56 2014	1394113916	2	165	166	157
Thu Mar 06 16:51:58 2014	1394113918	0	168	168	167
Thu Mar 06 16:52:00 2014	1394113920	0	168	168	166
Thu Mar 06 16:51:57 2014	1394113917	0	169	169	169
Thu Mar 06 16:51:58 2014	1394113918	0	170	170	170
Thu Mar 06 16:51:58 2014	1394113918	0	171	171	169
Thu Mar 06 16:51:57 2014	1394113917	0	172	173	172
Thu Mar 06 16:52:00 2014	1394113920	0	173	173	172
Thu Mar 06 16:51:58 2014	1394113918	0	174	174	174
Thu Mar 06 16:51:59 2014	1394113919	0	175	175	174
Thu Mar 06 16:51:57 2014	1394113917	0	175	176	175
Thu Mar 06 16:51:58 2014	1394113918	0	176	176	176
Thu Mar 06 16:52:00 2014	1394113920	0	177	177	177
Thu Mar 06 16:51:57 2014	1394113917	0	179	179	178
Thu Mar 06 16:51:58 2014	1394113918	0	180	180	179
Thu Mar 06 16:51:58 2014	1394113918	0	182	182	181
Thu Mar 06 16:51:58 2014	1394113918	0	182	182	180
Thu Mar 06 16:51:58 2014	1394113918	0	183	183	183
Thu Mar 06 16:51:59 2014	1394113919	0	183	183	181
Thu Mar 06 16:51:57 2014	1394113917	0	183	183	180
Thu Mar 06 16:51:59 2014	1394113919	0	186	186	184
Thu Mar 06 16:51:58 2014	1394113918	0	186	186	186
Thu Mar 06 16:52:00 2014	1394113920	0	186	186	185
Thu Mar 06 16:51:59 2014	1394113919	0	187	187	184
Thu Mar 06 16:52:00 2014	1394113920	0	188	188	187
Thu Mar 06 16:51:57 2014	1394113917	0	189	189	189
Thu Mar 06 16:51:57 2014	1394113917	0	190	190	189
Thu Mar 06 16:51:57 2014	1394113917	0	190	190	189
Thu Mar 06 16:51:59 2014	1394113919	0	190	190	190
Thu Mar 06 16:51:58 2014	1394113918	0	192	192	192
Thu Mar 06 16:52:00 2014	1394113920	0	192	193	192
Thu Mar 06 16:51:57 2014	1394113917	0	193	193	192
Thu Mar 06 16:51:58 2014	1394113918	0	193	193	192
Thu Mar 06 16:51:58 2014	1394113918	0	193	193	192
Thu Mar 06 16:51:57 2014	1394113917	0	194	194	190
Thu Mar 06 16:51:59 2014	1394113919	0	194	194	193
Thu Mar 06 16:51:57 2014	1394113917	0	194	194	191
Thu Mar 06 16:51:56 2014	1394113916	2	193	195	192
Thu Mar 06 16:51:57 2014	1394113917	0	195	195	193
Thu Mar 06 16:51:57 2014	1394113917	0	196	196	195
Thu Mar 06 16:51:58 2014	1394113918	0	196	196	195
Thu Mar 06 16:52:00 2014	1394113920	0	196	196	194
Thu Mar 06 16:51:58 2014	1394113918	0	198	198	198
Thu Mar 06 16:51:57 2014	1394113917	0	198	199	198
Thu Mar 06 16:51:59 2014	1394113919	0	200	200	199
Thu Mar 06 16:51:59 2014	1394113919	0	200	200	200
Thu Mar 06 16:51:58 2014	1394113918	0	201	201	201
Thu Mar 06 16:51:59 2014	1394113919	0	201	201	199
Thu Mar 06 16:51:57 2014	1394113917	0	202	202	201
Thu Mar 06 16:51:58 2014	1394113918	0	202	202	201
Thu Mar 06 16:51:58 2014	1394113918	0	202	202	202
Thu Mar 06 16:51:58 2014	1394113918	0	205	205	204
Thu Mar 06 16:51:58 2014	1394113918	0	205	205	204
Thu Mar 06 16:51:57 2014	1394113917	0	205	205	205
Thu Mar 06 16:52:00 2014	1394113920	0	207	207	204
Thu Mar 06 16:51:58 2014	1394113918	0	208	208	205
Thu Mar 06 16:51:59 2014	1394113919	0	208	208	207
Thu Mar 06 16:51:59 2014	1394113919	0	209	209	207
Thu Mar 06 16:51:58 2014	1394113918	0	209	209	208
Thu Mar 06 16:51:59 2014	1394113919	0	209	209	209
Thu Mar 06 16:51:59 2014	1394113919	0	210	210	209
Thu Mar 06 16:51:59 2014	1394113919	0	210	210	210
Thu Mar 06 16:51:59 2014	1394113919	0	211	211	210
Thu Mar 06 16:51:56 2014	1394113916	2	209	211	206
Thu Mar 06 16:51:58 2014	1394113918	0	211	211	210
Thu Mar 06 16:51:59 2014	1394113919	0	213	213	212
Thu Mar 06 16:51:59 2014	1394113919	0	214	214	213
Thu Mar 06 16:52:00 2014	1394113920	0	214	214	213
Thu Mar 06 16:51:59 2014	1394113919	0	216	216	214
Thu Mar 06 16:51:58 2014	1394113918	0	216	216	215
Thu Mar 06 16:51:59 2014	1394113919	0	216	216	213
Thu Mar 06 16:51:59 2014	1394113919	0	217	217	216
Thu Mar 06 16:51:59 2014	1394113919	0	217	217	214
Thu Mar 06 16:51:58 2014	1394113918	0	218	218	217
Thu Mar 06 16:51:59 2014	1394113919	0	219	219	216
Thu Mar 06 16:51:59 2014	1394113919	0	219	219	219
Thu Mar 06 16:52:00 2014	1394113920	0	220	220	219
Thu Mar 06 16:51:59 2014	1394113919	0	220	220	220
Thu Mar 06 16:51:57 2014	1394113917	0	222	222	221
Thu Mar 06 16:51:57 2014	1394113917	0	222	222	221
Thu Mar 06 16:51:58 2014	1394113918	0	225	225	223
Thu Mar 06 16:52:00 2014	1394113920	0	227	227	224
Thu Mar 06 16:52:00 2014	1394113920	0	227	227	227
Thu Mar 06 16:51:59 2014	1394113919	0	229	229	228
Thu Mar 06 16:52:00 2014	1394113920	0	229	229	229
Thu Mar 06 16:51:58 2014	1394113918	0	230	230	229
Thu Mar 06 16:51:59 2014	1394113919	0	230	230	228
Thu Mar 06 16:51:58 2014	1394113918	0	230	230	228
Thu Mar 06 16:51:59 2014	1394113919	0	230	230	230
Thu Mar 06 16:51:58 2014	1394113918	0	231	231	230
Thu Mar 06 16:51:58 2014	1394113918	0	231	231	231
Thu Mar 06 16:51:59 2014	1394113919	0	232	232	231
Thu Mar 06 16:51:56 2014	1394113916	2	231	233	230
Thu Mar 06 16:51:56 2014	1394113916	2	231	233	230
Thu Mar 06 16:52:00 2014	1394113920	0	234	234	234
Thu Mar 06 16:51:56 2014	1394113916	0	234	234	234
Thu Mar 06 16:51:59 2014	1394113919	0	235	235	235
Thu Mar 06 16:52:00 2014	1394113920	0	236	236	234
Thu Mar 06 16:51:57 2014	1394113917	0	237	237	236
Thu Mar 06 16:51:57 2014	1394113917	0	237	237	236
Thu Mar 06 16:51:58 2014	1394113918	0	237	237	233
Thu Mar 06 16:52:00 2014	1394113920	0	237	237	235
Thu Mar 06 16:52:00 2014	1394113920	0	237	237	237
Thu Mar 06 16:51:59 2014	1394113919	0	238	238	232
Thu Mar 06 16:51:59 2014	1394113919	0	238	238	237
Thu Mar 06 16:52:00 2014	1394113920	0	238	238	237
Thu Mar 06 16:51:58 2014	1394113918	0	239	239	238
Thu Mar 06 16:51:59 2014	1394113919	0	239	239	238
Thu Mar 06 16:51:59 2014	1394113919	0	241	241	240
